"","","","Kव नोदन 7णाल/ क(cid:12) K (एल.पी.एस.सी.)","09","Liquid Propulsion Systems Centre (LPSC)",""
"1864997","1885000","1795000","ेतन","09.00.01","Salaries","1888200"
"7223","7500","7500","मजदूर/","09.00.02","Wages","7800"
"1424","2200","2200","समयोप(र भNा","09.00.03","Overtime Allowance","2300"
"114995","110000","119000","(cid:23)च1क0सीय उपचार","09.00.06","Medical Treatment","119280"
"46997","45000","46500","ेशीय या3ा 4यय","09.00.11","Domestic Travel Expenses","47300"
"2199","4500","4500","*वदेश या3ा 4यय","09.00.12","Foreign Travel Expenses","5000"
"251710","310000","290000","","09.00.13","Office Expenses","300000"
"315","1300","1300","1कराया, महसूल और कर","09.00.14","Rent, Rates & Taxes","1300"
"22998","24000","24700","24700 अ8य 7शास9नक 4यय","09.00.20","Other Administrative Expenses","24500"
"247829","463600","800000","स:लाई और साज सामान","09.00.21","Supplies & Materials","804400"
"26997","37000","32500","पी.ओ.एल.","09.00.24","POL","33000"
"","","","अंत(र) अनुसंधान (मु$य शीष!) (जार/)","3402","Space Research",""
"","","","अंत(र) 7ौBयो(cid:23)गकC (लघु शीष!) (जार/)","00.101","Space Technology",""
"","","","Kव नोदन 7णाल/ क(cid:12) K (एल.पी.एस.सी.) (जार/)","09","Liquid Propulsion Systems Centre (LPSC)",""
"14499","12500","18800","*व>ापन और 7चार","09.00.26","Advertising & Publicity","19000"
"119983","116000","118780","लघु 9नमा!ण काय!","09.00.27","Minor Works","120000"
"236298","295000","270000","4यावसा9यक सेवाएं","09.00.28","Professional Services","290000"
"66998","40000","190000", अ8य सं*वदागत सेवाएं","09.00.30","Other Contractual Services","190000"
"170","200","220","सामा8य अनुदान","09.00.31","Grant-in-aid - General","220"
"22499","23000","31500"," छा3वृ*Nयां और वजीफे","09.00.34","Scholarships & Stipends","17200"
"1907","1500","3250","अ8य 7भार - भा(रत","09.00.50","Other Charges  - Charged","1500"
"12497","5700","15000","? वीकृ त","","Voted","12000"
"","","","?वPछता काय! योजना (एस.ए.पी.)","09.96","Swachhta Action Plan (SAP)",""
"3496","5000","5000","लघु 9नमा!ण काय!","09.96.27","Minor Works","5000"
"","","","ूचना 7ौBयो(cid:23)गकC","09.99","Information Technology",""
"6000","6000","6500","काया!लय 4यय","09.99.13","Office Expenses","6500"
"5000","5000","6050","अ8य 7भार","09.99.50","Other Charges","5500"
"3077031","3400000","3788300","जोड़: Kव नोदन 7णाल/ क(cid:12) K (एल.पी.एस.सी.)","","Total:Liquid Propulsion Systems Centre (LPSC)","3900000"
"1907","1500","3250","भा(रत","","Charged","1500"
"3075124","3398500","3785050","? वीकृ त","","Voted","3898500"
"","","","अंत(र) अनुसंधान (मु$य शीष!) (जार/)","3402","Space Research",""
"","","","अंत(र) 7ौBयो(cid:23)गकC (लघु शीष!) (जार/)","00.101","Space Technology",""
"","","","इसरो उपSह क(cid:12) K (आईजैक)","10","ISRO Satellite Centre (ISAC)",""
"3100000","0","0","ेतन","10.00.01","Salaries","0"
"0","0","0","मजदूर/","10.00.02","Wages","0"
"284","0","0","समयोप(र भNा","10.00.03","Overtime Allowance","0"
"251495","0","0","(cid:23)च1क0सीय उपचार","10.00.06","Medical Treatment","0"
"28800","0","0","ेशीय या3ा 4 यय","10.00.11","Domestic Travel Expenses","0"
"12100","0","0","*वदेश या3ा 4यय","10.00.12","Foreign Travel Expenses","0"
"241381","0","0","काया!लय 4यय","10.00.13","Office Expenses","0"
"2033","0","0","1कराया, महसूल और कर","10.00.14","Rent, Rates & Taxes","0"
"53621","0","0","अ8य 7शास9नक 4यय","10.00.20","Other Administrative Expenses","0"
"267849","0","0","स:लाई और साज सामान","10.00.21","Supplies & Materials","0"
"11854","0","0","पी.ओ.एल.","10.00.24","POL","0"
"10768","0","0","*व>ापन और 7चार","10.00.26","Advertising & Publicity","0"
"292500","0","0","लघु 9नमा!ण काय!","10.00.27","Minor Works","0"
"306058","0","0","4यावसा9यक सेवाएं","10.00.28","Professional Services","0"
"450978","0","0","अ8य सं*वदागत सेवाएं","10.00.30","Other Contractual Services","0"
"48860","0","0","सामा8य अनुदान","10.00.31","Grant-in-aid - General","0"
"0","0","0","अंशदान","10.00.32","Contributions","0"
"2069","0","0","छा3वृ*Nयां और वजीफे","10.00.34","Scholarships & Stipends","0"
"0","0","0","अ8य 7भार - भा(रत","10.00.50","Other Charges  - Charged","0"
"18968","0","0","? वीकृ त","","Voted","0"
"","","","अंत(र) अनुसंधान (मु$य शीष!) (जार/)","3402","Space Research",""
"","","","अंत(र) 7ौBयो(cid:23)गकC (लघु शीष!) (जार/)","00.101","Space Technology",""
"","","","इसरो उपSह क(cid:12) K (आईजैक) (जार/)","10","ISRO Satellite Centre (ISAC)",""
"","","","?वPछता काय! योजना (एस.ए.पी.)","10.96","Swachhta Action Plan (SAP)",""
"387","0","0","लघु 9नमा!ण काय!","10.96.27","Minor Works","0"
"","","","ूचना 7ौBयो(cid:23)गकC","10.99","Information Technology",""
"89594","0","0","काया!लय 4यय","10.99.13","Office Expenses","0"
"26612","0","0","अ8य 7भार","10.99.50","Other Charges","0"
"5216211","0","0","जोड़: इसरो उपSह क(cid:12) K (आईजैक)","","Total:ISRO Satellite Centre (ISAC)","0"
"0","0","0","भा(रत","","Charged","0"
"5216211","0","0","? वीकृ त","","Voted","0"
"","","","*वBयुत 7काWशकC तं3 7योगशाला (Wलयोस)","11","Laboratory for Electro-Optics Systems (LEOS)",""
"345200","360000","360000","ेतन","11.00.01","Salaries","400000"
"0","10","10","मजदूर/","11.00.02","Wages","10"
"0","50","50","समयोप(र भNा","11.00.03","Overtime Allowance","50"
"2400","3000","2600","(cid:23)च1क0सीय उपचार","11.00.06","Medical Treatment","2800"
"2307","1000","1500","ेशीय या3ा 4 यय","11.00.11","Domestic Travel Expenses","1500"
"0","1000","1500","*वदेश या3ा 4यय","11.00.12","Foreign Travel Expenses","2000"
"45390","47000","54000","काया!लय 4यय","11.00.13","Office Expenses","47500"
"0","10","10","1कराया, महसूल और कर","11.00.14","Rent, Rates & Taxes","10"
"0","100","200","7काशन","11.00.16","Publications","200"
"2968","3500","5900","अ8य 7शास9नक 4यय","11.00.20","Other Administrative Expenses","4700"
"59889","93300","78400","स:लाई और साज सामान","11.00.21","Supplies & Materials","80000"
